# wavelength, pathlength
4.500000000000000000e+02 6.251601127134284175e-01
4.510000000000000000e+02 6.555243167858345599e-01
4.520000000000000000e+02 6.847970379915491179e-01
4.530000000000000000e+02 7.130392075902814986e-01
4.540000000000000000e+02 7.403117568417401095e-01
4.550000000000000000e+02 7.666756170056344688e-01
4.560000000000000000e+02 7.921917193416735392e-01
4.570000000000000000e+02 8.169209951095656175e-01
4.580000000000000000e+02 8.409243755690208877e-01
4.590000000000000000e+02 8.642627919797472025e-01
4.600000000000000000e+02 8.869971756014541908e-01
4.610000000000000000e+02 9.091884576938507045e-01
4.620000000000000000e+02 9.308975695166459285e-01
4.630000000000000000e+02 9.521854423295484926e-01
4.640000000000000000e+02 9.731130073922673596e-01
4.650000000000000000e+02 9.937411959645118253e-01
4.660000000000000000e+02 1.014130939305990964e+00
4.670000000000000000e+02 1.034343168676413516e+00
4.680000000000000000e+02 1.054438815335488666e+00
4.690000000000000000e+02 1.074478810542924823e+00
4.700000000000000000e+02 1.094524085558431725e+00
4.710000000000000000e+02 1.114604123836664629e+00
4.720000000000000000e+02 1.134622617612063955e+00
4.730000000000000000e+02 1.154451811314017862e+00
4.740000000000000000e+02 1.173963949371912507e+00
4.750000000000000000e+02 1.193031276215135827e+00
4.760000000000000000e+02 1.211526036273075313e+00
4.770000000000000000e+02 1.229320473975117345e+00
4.780000000000000000e+02 1.246286833750650080e+00
4.790000000000000000e+02 1.262297360029060123e+00
4.800000000000000000e+02 1.277224297239735629e+00
4.810000000000000000e+02 1.290986040772023280e+00
4.820000000000000000e+02 1.303685589855113625e+00
4.830000000000000000e+02 1.315472094678155957e+00
4.840000000000000000e+02 1.326494705430299126e+00
4.850000000000000000e+02 1.336902572300693981e+00
4.860000000000000000e+02 1.346844845478490482e+00
4.870000000000000000e+02 1.356470675152837924e+00
4.880000000000000000e+02 1.365929211512885599e+00
4.890000000000000000e+02 1.375369604747784802e+00
4.900000000000000000e+02 1.384941005046684159e+00
4.910000000000000000e+02 1.394760266049047237e+00
4.920000000000000000e+02 1.404815055195591800e+00
4.930000000000000000e+02 1.415060743377348329e+00
4.940000000000000000e+02 1.425452701485347751e+00
4.950000000000000000e+02 1.435946300410621213e+00
4.960000000000000000e+02 1.446496911044199640e+00
4.970000000000000000e+02 1.457059904277113072e+00
4.980000000000000000e+02 1.467590651000392876e+00
4.990000000000000000e+02 1.478044522105070868e+00
5.000000000000000000e+02 1.488376888482176419e+00
5.010000000000000000e+02 1.498493734916325870e+00
5.020000000000000000e+02 1.508103501766471677e+00
5.030000000000000000e+02 1.516865243285151932e+00
5.040000000000000000e+02 1.524438013724903174e+00
5.050000000000000000e+02 1.530480867338262607e+00
5.060000000000000000e+02 1.534652858377768547e+00
5.070000000000000000e+02 1.536613041095957533e+00
5.080000000000000000e+02 1.536020469745366990e+00
5.090000000000000000e+02 1.532534198578535012e+00
5.100000000000000000e+02 1.525813281847998137e+00
5.110000000000000000e+02 1.515624359542466104e+00
5.120000000000000000e+02 1.502164414595335673e+00
5.130000000000000000e+02 1.485738015676175916e+00
5.140000000000000000e+02 1.466649731454554795e+00
5.150000000000000000e+02 1.445204130600041381e+00
5.160000000000000000e+02 1.421705781782204969e+00
5.170000000000000000e+02 1.396459253670613743e+00
5.180000000000000000e+02 1.369769114934836329e+00
5.190000000000000000e+02 1.341939934244442023e+00
5.200000000000000000e+02 1.313276280268999674e+00
5.210000000000000000e+02 1.284064601645970027e+00
5.220000000000000000e+02 1.254518866884385186e+00
5.230000000000000000e+02 1.224834924461169816e+00
5.240000000000000000e+02 1.195208622853247471e+00
5.250000000000000000e+02 1.165835810537542816e+00
5.260000000000000000e+02 1.136912335990980960e+00
5.270000000000000000e+02 1.108634047690484792e+00
5.280000000000000000e+02 1.081196794112979420e+00
5.290000000000000000e+02 1.054796423735389288e+00
5.300000000000000000e+02 1.029628785034638616e+00
5.310000000000000000e+02 1.005886549015313047e+00
5.320000000000000000e+02 9.837496767926432462e-01
5.330000000000000000e+02 9.633949520095211883e-01
5.340000000000000000e+02 9.449991583088377389e-01
5.350000000000000000e+02 9.287390793334856509e-01
5.360000000000000000e+02 9.147914987263566777e-01
5.370000000000000000e+02 9.033332001303423509e-01
5.380000000000000000e+02 8.945409671883345348e-01
5.390000000000000000e+02 8.885915835432254273e-01
5.400000000000000000e+02 8.856618328379064486e-01
5.410000000000000000e+02 8.858666028243450397e-01
5.420000000000000000e+02 8.890731976908088363e-01
5.430000000000000000e+02 8.950870257346417169e-01
5.440000000000000000e+02 9.037134952531862275e-01
5.450000000000000000e+02 9.147580145437861354e-01
5.460000000000000000e+02 9.280259919037846528e-01
5.470000000000000000e+02 9.433228356305249918e-01
5.480000000000000000e+02 9.604539540213502535e-01
5.490000000000000000e+02 9.792247553736042054e-01
5.500000000000000000e+02 9.994406479846297264e-01
5.510000000000000000e+02 1.020840119795734635e+00
5.520000000000000000e+02 1.042893977324083732e+00
5.530000000000000000e+02 1.065006106730806312e+00
5.540000000000000000e+02 1.086580394177031339e+00
5.550000000000000000e+02 1.107020725823887553e+00
5.560000000000000000e+02 1.125730987832505248e+00
5.570000000000000000e+02 1.142115066364012943e+00
5.580000000000000000e+02 1.155576847579539157e+00
5.590000000000000000e+02 1.165520217640213962e+00
5.600000000000000000e+02 1.171349062707166544e+00
5.610000000000000000e+02 1.172635367260759898e+00
5.620000000000000000e+02 1.169623509058293598e+00
5.630000000000000000e+02 1.162725964176301696e+00
5.640000000000000000e+02 1.152355208691317578e+00
5.650000000000000000e+02 1.138923718679875074e+00
5.660000000000000000e+02 1.122843970218507792e+00
5.670000000000000000e+02 1.104528439383750227e+00
5.680000000000000000e+02 1.084389602252134654e+00
5.690000000000000000e+02 1.062839934900196237e+00
5.700000000000000000e+02 1.040291913404468360e+00
5.710000000000000000e+02 1.017313424968320890e+00
5.720000000000000000e+02 9.950940013024675013e-01
5.730000000000000000e+02 9.749785852444596834e-01
5.740000000000000000e+02 9.583121196318470369e-01
5.750000000000000000e+02 9.464395473021802729e-01
5.760000000000000000e+02 9.407058110930101025e-01
5.770000000000000000e+02 9.424558538418865705e-01
5.780000000000000000e+02 9.530346183863601661e-01
5.790000000000000000e+02 9.737870475639816004e-01
5.800000000000000000e+02 1.006058084212301251e+00
5.810000000000000000e+02 1.050881122193213058e+00
5.820000000000000000e+02 1.108043359465984201e+00
5.830000000000000000e+02 1.177020445014226757e+00
5.840000000000000000e+02 1.257288027821550580e+00
5.850000000000000000e+02 1.348321756871567079e+00
5.860000000000000000e+02 1.449597281147888106e+00
5.870000000000000000e+02 1.560590249634123738e+00
5.880000000000000000e+02 1.680776311313885385e+00
5.890000000000000000e+02 1.809631115170784454e+00
5.900000000000000000e+02 1.946630310188431245e+00
5.910000000000000000e+02 2.091044413117020273e+00
5.920000000000000000e+02 2.241323411773074259e+00
5.930000000000000000e+02 2.395712161739699919e+00
5.940000000000000000e+02 2.552455518600001305e+00
5.950000000000000000e+02 2.709798337937086021e+00
5.960000000000000000e+02 2.865985475334058563e+00
5.970000000000000000e+02 3.019261786374026535e+00
5.980000000000000000e+02 3.167872126640092656e+00
5.990000000000000000e+02 3.310061351715366307e+00
6.000000000000000000e+02 3.444074317182951539e+00
6.010000000000000000e+02 3.568788885298971536e+00
6.020000000000000000e+02 3.685614945011616239e+00
6.030000000000000000e+02 3.796595391942092945e+00
6.040000000000000000e+02 3.903773121711608507e+00
6.050000000000000000e+02 4.009191029941368889e+00
6.060000000000000000e+02 4.114892012252584053e+00
6.070000000000000000e+02 4.222918964266458630e+00
6.080000000000000000e+02 4.335314781604198586e+00
6.090000000000000000e+02 4.454122359887014326e+00
6.100000000000000000e+02 4.581384594736110927e+00
6.110000000000000000e+02 4.718550611224663349e+00
6.120000000000000000e+02 4.864694452233707445e+00
6.130000000000000000e+02 5.018296390096250725e+00
6.140000000000000000e+02 5.177836697145292710e+00
6.150000000000000000e+02 5.341795645713839136e+00
6.160000000000000000e+02 5.508653508134897514e+00
6.170000000000000000e+02 5.676890556741470917e+00
6.180000000000000000e+02 5.844987063866558863e+00
6.190000000000000000e+02 6.011423301843173306e+00
6.200000000000000000e+02 6.174679543004312876e+00
6.210000000000000000e+02 6.333519039872522072e+00
6.220000000000000000e+02 6.487836965728495109e+00
6.230000000000000000e+02 6.637811474042464965e+00
6.240000000000000000e+02 6.783620718284659290e+00
6.250000000000000000e+02 6.925442851925312837e+00
6.260000000000000000e+02 7.063456028434658585e+00
6.270000000000000000e+02 7.197838401282927734e+00
6.280000000000000000e+02 7.328768123940348822e+00
6.290000000000000000e+02 7.456423349877159268e+00
6.300000000000000000e+02 7.580982232563588497e+00
6.310000000000000000e+02 7.702589430833326034e+00
6.320000000000000000e+02 7.821255624973885823e+00
6.330000000000000000e+02 7.936958000636249011e+00
6.340000000000000000e+02 8.049673743471378984e+00
6.350000000000000000e+02 8.159380039130253337e+00
6.360000000000000000e+02 8.266054073263848778e+00
6.370000000000000000e+02 8.369673031523134910e+00
6.380000000000000000e+02 8.470214099559086662e+00
6.390000000000000000e+02 8.567654463022677191e+00
6.400000000000000000e+02 8.661971307564881428e+00
6.410000000000000000e+02 8.753207793661120562e+00
6.420000000000000000e+02 8.841670981084616798e+00
6.430000000000000000e+02 8.927733904433040379e+00
6.440000000000000000e+02 9.011769598304057993e+00
6.450000000000000000e+02 9.094151097295339881e+00
6.460000000000000000e+02 9.175251436004561612e+00
6.470000000000000000e+02 9.255443649029388098e+00
6.480000000000000000e+02 9.335100770967487804e+00
6.490000000000000000e+02 9.414595836416536301e+00
6.500000000000000000e+02 9.494301879974198499e+00
6.510000000000000000e+02 9.574556091548863890e+00
6.520000000000000000e+02 9.655552282291768762e+00
6.530000000000000000e+02 9.737448418664875760e+00
6.540000000000000000e+02 9.820402467130135093e+00
6.550000000000000000e+02 9.904572394149505854e+00
6.560000000000000000e+02 9.990116166184945357e+00
6.570000000000000000e+02 1.007719174969841092e+01
6.580000000000000000e+02 1.016595711115185452e+01
6.590000000000000000e+02 1.025657021700724059e+01
6.600000000000000000e+02 1.034918903372651577e+01
6.610000000000000000e+02 1.044393926970191444e+01
6.620000000000000000e+02 1.054081760104672760e+01
6.630000000000000000e+02 1.063978844580453220e+01
6.640000000000000000e+02 1.074081622201888742e+01
6.650000000000000000e+02 1.084386534773336308e+01
6.660000000000000000e+02 1.094890024099153258e+01
6.670000000000000000e+02 1.105588531983695688e+01
6.680000000000000000e+02 1.116478500231320226e+01
6.690000000000000000e+02 1.127556370646384742e+01
6.700000000000000000e+02 1.138818585033245157e+01
6.710000000000000000e+02 1.150257611522519241e+01
6.720000000000000000e+02 1.161850023549867217e+01
6.730000000000000000e+02 1.173568420877211693e+01
6.740000000000000000e+02 1.185385403266472615e+01
6.750000000000000000e+02 1.197273570479571703e+01
6.760000000000000000e+02 1.209205522278430678e+01
6.770000000000000000e+02 1.221153858424970728e+01
6.780000000000000000e+02 1.233091178681112865e+01
6.790000000000000000e+02 1.244990082808779341e+01
6.800000000000000000e+02 1.256823170569890991e+01
6.810000000000000000e+02 1.268562156512456518e+01
6.820000000000000000e+02 1.280175214328832567e+01
6.830000000000000000e+02 1.291629632497464719e+01
6.840000000000000000e+02 1.302892699496796602e+01
6.850000000000000000e+02 1.313931703805272377e+01
6.860000000000000000e+02 1.324713933901337448e+01
6.870000000000000000e+02 1.335206678263435620e+01
6.880000000000000000e+02 1.345377225370011054e+01
6.890000000000000000e+02 1.355192863699509154e+01
6.900000000000000000e+02 1.364620881730373370e+01
6.910000000000000000e+02 1.373638060104295278e+01
6.920000000000000000e+02 1.382259148115949721e+01
6.930000000000000000e+02 1.390508387223259312e+01
6.940000000000000000e+02 1.398410018884144890e+01
6.950000000000000000e+02 1.405988284556528534e+01
6.960000000000000000e+02 1.413267425698332680e+01
6.970000000000000000e+02 1.420271683767478521e+01
6.980000000000000000e+02 1.427025300221887427e+01
6.990000000000000000e+02 1.433552516519482545e+01
7.000000000000000000e+02 1.439877574118184356e+01
7.010000000000000000e+02 1.446016951812362628e+01
7.020000000000000000e+02 1.451956077742173434e+01
7.030000000000000000e+02 1.457672617384220537e+01
7.040000000000000000e+02 1.463144236215106631e+01
7.050000000000000000e+02 1.468348599711435654e+01
7.060000000000000000e+02 1.473263373349811722e+01
7.070000000000000000e+02 1.477866222606837177e+01
7.080000000000000000e+02 1.482134812959115955e+01
7.090000000000000000e+02 1.486046809883251996e+01
7.100000000000000000e+02 1.489579878855848349e+01
7.110000000000000000e+02 1.492720006718943360e+01
7.120000000000000000e+02 1.495486465776314056e+01
7.130000000000000000e+02 1.497906849697172760e+01
7.140000000000000000e+02 1.500008752150730551e+01
7.150000000000000000e+02 1.501819766806199752e+01
7.160000000000000000e+02 1.503367487332792507e+01
7.170000000000000000e+02 1.504679507399720428e+01
7.180000000000000000e+02 1.505783420676195306e+01
7.190000000000000000e+02 1.506706820831429106e+01
7.200000000000000000e+02 1.507477301534633973e+01
7.210000000000000000e+02 1.508109143055778745e+01
7.220000000000000000e+02 1.508563372067857777e+01
7.230000000000000000e+02 1.508787701844624252e+01
7.240000000000000000e+02 1.508729845659829394e+01
7.250000000000000000e+02 1.508337516787225141e+01
7.260000000000000000e+02 1.507558428500564496e+01
7.270000000000000000e+02 1.506340294073598862e+01
7.280000000000000000e+02 1.504630826780080000e+01
7.290000000000000000e+02 1.502377739893760733e+01
7.300000000000000000e+02 1.499528746688392644e+01
7.310000000000000000e+02 1.496051382800802187e+01
7.320000000000000000e+02 1.491992473320114421e+01
7.330000000000000000e+02 1.487418665698527853e+01
7.340000000000000000e+02 1.482396607388241172e+01
7.350000000000000000e+02 1.476992945841453597e+01
7.360000000000000000e+02 1.471274328510364349e+01
7.370000000000000000e+02 1.465307402847171936e+01
7.380000000000000000e+02 1.459158816304074868e+01
7.390000000000000000e+02 1.452895216333273432e+01
7.400000000000000000e+02 1.446583250386965780e+01
7.410000000000000000e+02 1.440281839308272005e+01
7.420000000000000000e+02 1.434018997503996395e+01
7.430000000000000000e+02 1.427815012771864644e+01
